UniProtKB:Q8NBM8	PCYOX1L
UniProtKB:Q8NBM4	UBAC2
UniProtKB:Q9UL15	BAG5
UniProtKB:Q9BW92	TARS2
UniProtKB:Q9H2K8	TAOK3
UniProtKB:Q8NBL1	POGLUT1
UniProtKB:P07741	APRT
UniProtKB:Q9UKQ2	ADAM28
UniProtKB:Q5W064	LIPJ
UniProtKB:Q49AJ0	FAM135B
UniProtKB:P20265	POU3F2
UniProtKB:P05455	SSB
UniProtKB:Q8NBK3	SUMF1
UniProtKB:Q9UKR3	KLK13
UniProtKB:Q9UKR5	C14orf1
UniProtKB:Q9UL36	ZNF236
UniProtKB:Q9H2M9	RAB3GAP2
UniProtKB:Q96IG2	FBXL20
UniProtKB:Q8NBJ9	SIDT2
UniProtKB:Q8NBJ7	SUMF2
UniProtKB:Q8NBJ4	GOLM1
UniProtKB:Q9UKS6	PACSIN3
UniProtKB:Q9UKS7	IKZF2
UniProtKB:P20248	CCNA2
UniProtKB:Q8NBI6	XXYLT1
UniProtKB:Q8NBI2	CYB561A3
UniProtKB:Q9H300	PARL
UniProtKB:Q9UL52	TMPRSS11E
UniProtKB:E7EML9	PRSS44
UniProtKB:Q49AG3	ZBED5
UniProtKB:Q9H306	MMP27
UniProtKB:Q9UL58	ZNF215
UniProtKB:Q8NBH2	KY
UniProtKB:P20231	TPSB2
UniProtKB:Q9UKU0	ACSL6
UniProtKB:Q9UL62	TRPC5
UniProtKB:Q9UKU7	ACAD8
UniProtKB:Q9UL68	MYT1L
UniProtKB:P20226	TBP
UniProtKB:Q86UN2	RTN4RL1
UniProtKB:Q9H324	ADAMTS10
UniProtKB:Q9UKV8	AGO2
UniProtKB:P15559	NQO1
UniProtKB:Q8NBF1	GLIS1
UniProtKB:Q9UKW4	VAV3
UniProtKB:Q9H334	FOXP1
UniProtKB:Q9UKW6	ELF5
UniProtKB:Q96IL0	APOPT1
UniProtKB:Q8NBE8	KLHL23
UniProtKB:Q70SY1	CREB3L2
UniProtKB:Q96IM9	DYDC2
UniProtKB:P62380	TBPL1
UniProtKB:P15538	CYP11B1
UniProtKB:P50991	CCT4
UniProtKB:P50990	CCT8
UniProtKB:P15531	NME1
UniProtKB:Q9UKY4	POMT2
UniProtKB:Q5JVG8	ZNF506
UniProtKB:Q9NNW5	WDR6
UniProtKB:Q6P587	FAHD1
UniProtKB:P15529	CD46
UniProtKB:Q9H361	PABPC3
UniProtKB:Q49AA0	ZFP69
UniProtKB:Q9H2U9	ADAM7
UniProtKB:Q96J01	THOC3
UniProtKB:Q96J02	ITCH
UniProtKB:Q6P575	GUSBP11
UniProtKB:Q8NBB4	ZSCAN1
UniProtKB:P15514	AREG
UniProtKB:Q16739	UGCG
UniProtKB:P15509	CSF2RA
UniProtKB:Q5T752	LCE1D
UniProtKB:Q96IQ9	ZNF414
UniProtKB:P62341	SELENOT
UniProtKB:P57682	KLF3
UniProtKB:Q9H2X3	CLEC4M
UniProtKB:Q9H2X6	HIPK2
UniProtKB:P57678	GEMIN4
UniProtKB:P62333	PSMC6
UniProtKB:Q9NZ56	FMN2
UniProtKB:P62328	TMSB4X
UniProtKB:Q6P4R8	NFRKB
UniProtKB:Q6P531	GGT6
UniProtKB:Q4FZB7	KMT5B
UniProtKB:O95299	NDUFA10
UniProtKB:O95298	NDUFC2
UniProtKB:O95295	SNAPIN
UniProtKB:P37198	NUP62
UniProtKB:O95292	VAPB
UniProtKB:P62318	SNRPD3
UniProtKB:P62316	SNRPD2
UniProtKB:P62314	SNRPD1
UniProtKB:P62312	LSM6
